"DATE","DCOILBRENTEU","DCOILWTICO","DEXUSAL","DEXCAUS","DEXDNUS","DEXUSEU","DEXNOUS","DEXSDUS","DEXUSUK","OVX","DEXNOEU","DEXBZUS","DEXMXUS","CHFEUR","DEXJPUS","DEXSZUS"
1971-01-01,NA,NA,1.1236,1.008,7.4868,NA,7.1445,5.1675,2.4174,NA,NA,NA,NA,NA,358.02,4.2963
1971-02-01,NA,NA,1.123,1.007,7.4834,NA,7.142,5.1652,2.416,NA,NA,NA,NA,NA,357.545,4.307
1971-03-01,NA,NA,1.1234,1.0081,7.4764,NA,7.1314,5.1624,2.4168,NA,NA,NA,NA,NA,357.5186957,4.2954
1971-04-01,NA,NA,1.1245,1.0091,7.496,NA,7.1312,5.1614,2.4193,NA,NA,NA,NA,NA,357.5031818,4.2959
1971-05-01,NA,NA,1.1238,1.0101,7.4946,NA,7.1115,5.1648,2.4178,NA,NA,NA,NA,NA,357.413,4.1058
1971-06-01,NA,NA,1.1246,1.0235,7.496,NA,7.1048,5.1588,2.4196,NA,NA,NA,NA,NA,357.4118182,4.0989
1971-07-01,NA,NA,1.1241,1.0188,7.4993,NA,7.1066,5.1591,2.4184,NA,NA,NA,NA,NA,357.4042857,4.0862
1971-08-01,NA,NA,1.1406,1.0142,7.3505,NA,6.9143,5.0793,2.4535,NA,NA,NA,NA,NA,355.78,3.9936
1971-09-01,NA,NA,1.1549,1.0093,7.28,NA,6.8672,5.0273,2.4847,NA,NA,NA,NA,NA,338.0209524,3.9541
1971-10-01,NA,NA,1.158,1.0036,7.2576,NA,6.8538,5.0196,2.4914,NA,NA,NA,NA,NA,331.1105263,3.9927
1971-11-01,NA,NA,1.1591,1.0036,7.2227,NA,6.8376,4.957,2.4937,NA,NA,NA,NA,NA,328.752,3.9555
1971-12-01,NA,NA,1.1887,1.0024,7.0665,NA,6.7069,4.8631,2.552,NA,NA,NA,NA,NA,320.0727273,3.9147
1972-01-01,NA,NA,1.191,1.0056,7.0028,NA,6.6912,4.8054,2.5937,NA,NA,NA,NA,NA,312.72,3.8745
1972-02-01,NA,NA,1.191,1.0012,6.9857,NA,6.6269,4.7927,2.6059,NA,NA,NA,NA,NA,305.187,3.8685
1972-03-01,NA,NA,1.191,0.9977,6.9686,NA,6.6007,4.7801,2.6163,NA,NA,NA,NA,NA,302.5365217,3.8358
1972-04-01,NA,NA,1.191,0.9924,6.9955,NA,6.6028,4.7755,2.611,NA,NA,NA,NA,NA,303.5605,3.8647
1972-05-01,NA,NA,1.191,0.9812,6.9324,NA,6.5274,4.7337,2.613,NA,NA,NA,NA,NA,304.3795455,3.8432
1972-06-01,NA,NA,1.191,0.9856,6.9469,NA,6.5147,4.7059,2.441,NA,NA,NA,NA,NA,302.4145455,3.7425
1972-07-01,NA,NA,1.191,0.9834,6.9553,NA,6.5274,4.7281,2.4498,NA,NA,NA,NA,NA,301.0305,3.7736
1972-08-01,NA,NA,1.191,0.9832,6.8918,NA,6.5424,4.7248,2.4483,NA,NA,NA,NA,NA,301.1608696,3.7818
1972-09-01,NA,NA,1.191,0.9835,7.2307,NA,6.6203,4.745,2.4195,NA,NA,NA,NA,NA,301.119,3.8023
1972-10-01,NA,NA,1.191,0.9832,6.9144,NA,6.6423,4.7483,2.3405,NA,NA,NA,NA,NA,301.011,3.7994
1972-11-01,NA,NA,1.191,0.9945,6.8681,NA,6.5746,4.7393,2.3522,NA,NA,NA,NA,NA,300.9885,3.7761
1972-12-01,NA,NA,1.2732,0.9956,6.8435,NA,6.6412,4.7438,2.348,NA,NA,NA,NA,NA,301.2405,3.7707
1973-01-01,NA,NA,1.271,1.0009,6.8376,NA,6.5327,4.707,2.3817,NA,NA,NA,NA,NA,301.7881818,3.6206
1973-02-01,NA,NA,1.41,0.9942,6.1767,NA,5.9773,4.4543,2.49,NA,NA,NA,NA,NA,278.4205556,3.1299
1973-03-01,NA,NA,1.415,0.9991,6.2035,NA,5.9032,4.4944,2.4755,NA,NA,NA,NA,NA,261.9013636,3.2436
1973-04-01,NA,NA,1.415,1.0032,6.2441,NA,5.9382,4.5249,2.489,NA,NA,NA,NA,NA,265.4914286,3.2415
1973-05-01,NA,NA,1.415,0.9951,6.0205,NA,5.6593,4.2772,2.5661,NA,NA,NA,NA,NA,264.6504545,3.0864
1973-06-01,NA,NA,1.4155,0.9985,5.6657,NA,5.291,4.0568,2.581,NA,NA,NA,NA,NA,264.4980952,2.9283
