"Date","Australia","Canada","Euro","Norway","UK","US"
2007-05-09,6.25,4.2296,3.7,5,3.73525,5.21
2007-05-10,6.25,4.2205,3.67,5,3.64,5.25
2007-05-11,6.25,4.2221,3.68,5,3.70525,5.27
2007-05-12,NA,NA,NA,NA,NA,5.27
2007-05-13,NA,NA,NA,NA,NA,5.27
2007-05-14,6.25,4.2313,3.39,5,3.44375,5.26
2007-05-15,6.25,4.2438,3.83,5,3.8425,5.29
2007-05-16,6.25,4.243,3.83,5,3.84375,5.25
2007-05-17,6.25,4.2475,3.83,NA,3.8425,5.25
2007-05-18,6.25,4.234,3.83,5,3.84188,5.24
2007-05-19,NA,NA,NA,NA,NA,5.24
2007-05-20,NA,NA,NA,NA,NA,5.24
2007-05-21,6.25,NA,3.83,5,3.84125,5.24
2007-05-22,6.25,4.2358,3.83,5,3.84375,5.23
2007-05-23,6.25,4.2325,3.83,5,3.84375,5.25
2007-05-24,6.25,4.2338,3.83,5,3.8425,5.24
2007-05-25,6.25,4.2364,3.83,5,3.84213,5.29
2007-05-26,NA,NA,NA,NA,NA,5.29
2007-05-27,NA,NA,NA,NA,NA,5.29
2007-05-28,6.25,4.2374,3.83,NA,3.83963,5.29
2007-05-29,6.25,4.2342,3.83,5,3.84063,5.29
2007-05-30,6.25,4.232,3.82,5,3.8375,5.25
2007-05-31,6.25,4.2552,3.85,5.25,3.86375,5.28
2007-06-01,6.25,4.2647,3.8,5.25,3.82063,5.23
2007-06-02,NA,NA,NA,NA,NA,5.23
2007-06-03,NA,NA,NA,NA,NA,5.23
2007-06-04,6.25,4.2622,3.76,5.25,3.7825,5.24
2007-06-05,6.25,4.2536,3.73,5.25,3.749,5.19
2007-06-06,6.25,4.2433,3.68,5.25,3.68438,5.25
2007-06-07,6.25,4.2452,3.69,5.25,3.715,5.25
2007-06-08,6.25,4.2423,3.82,5.25,3.89025,5.26
2007-06-09,NA,NA,NA,NA,NA,5.26
2007-06-10,NA,NA,NA,NA,NA,5.26
2007-06-11,NA,4.2438,3.81,5.25,3.805,5.27
2007-06-12,6.25,4.2481,3.79,5.25,3.85625,5.26
2007-06-13,6.25,4.2412,4.08,5.25,4.09063,5.26
2007-06-14,6.25,4.2355,4.08,5.25,4.08875,5.28
2007-06-15,6.25,4.2492,4.07,5.25,4.0835,5.26
2007-06-16,NA,NA,NA,NA,NA,5.26
2007-06-17,NA,NA,NA,NA,NA,5.26
2007-06-18,6.25,4.2488,4.07,5.25,4.08313,5.23
2007-06-19,6.25,4.2484,4.07,5.25,4.08063,5.21
2007-06-20,6.25,4.2487,4.06,5.25,4.07625,5.27
2007-06-21,6.25,4.249,4.06,5.25,4.07563,5.26
2007-06-22,6.25,4.2534,4.06,5.25,4.07375,5.24
2007-06-23,NA,NA,NA,NA,NA,5.24
2007-06-24,NA,NA,NA,NA,NA,5.24
2007-06-25,6.25,4.2529,4.07,5.25,4.07813,5.29
2007-06-26,6.25,4.2486,4.07,5.25,4.08438,5.25
2007-06-27,6.25,4.2647,4.08,5.25,4.085,5.26
2007-06-28,6.25,4.2556,4.08,5.5,4.08688,5.26
2007-06-29,6.25,4.2612,4.14,5.5,4.1475,5.31
2007-06-30,NA,NA,NA,NA,NA,5.31
2007-07-01,NA,NA,NA,NA,NA,5.31
2007-07-02,6.25,NA,4.07,5.5,4.07938,5.31
2007-07-03,6.25,4.2484,4.04,5.5,4.06938,5.24
2007-07-04,6.25,4.2475,4.01,5.5,4.02,5.24
2007-07-05,6.25,4.2499,4.05,5.5,4.07438,5.25
2007-07-06,6.25,4.2564,4.06,5.5,4.08063,5.22
2007-07-07,NA,NA,NA,NA,NA,5.22
2007-07-08,NA,NA,NA,NA,NA,5.22
2007-07-09,6.25,4.2574,4.06,5.5,4.07875,5.22
2007-07-10,6.25,4.5195,4.07,5.5,4.085,5.24
2007-07-11,6.25,4.5102,4.07,5.5,4.0825,5.24
2007-07-12,6.25,4.5217,4.07,5.5,4.08438,5.26
2007-07-13,6.25,4.5135,4.07,5.5,4.08438,5.25
2007-07-14,NA,NA,NA,NA,NA,5.25
2007-07-15,NA,NA,NA,NA,NA,5.25
2007-07-16,6.25,4.5012,4.07,5.5,4.08025,5.32
2007-07-17,6.25,4.507,4.07,5.5,4.08025,5.28
2007-07-18,6.25,4.5022,4.07,5.5,4.07963,5.26
2007-07-19,6.25,4.497,4.07,5.5,4.07713,5.25
2007-07-20,6.25,4.5072,4.07,5.5,4.07938,5.25
2007-07-21,NA,NA,NA,NA,NA,5.25
